full_name,stars,releases,created_at,cbo_median,cbo_mean,cbo_std,dit_median,dit_mean,dit_std,lcom_median,lcom_mean,lcom_std,loc_median,loc_mean,loc_std,num_classes
android-hacker/VirtualXposed,15979,50,2017-12-01,2.0,3.947,5.3242,2.0,2.7928,11.8546,0.0,14.6958,128.5933,8.0,32.8534,89.0571,1453
dyc87112/SpringBoot-Learning,15784,0,2016-08-21,4.0,4.4535,2.9787,1.0,1.026,0.1811,0.0,1.4535,7.1808,7.0,10.3717,8.2333,269
android10/Android-CleanArchitecture,15548,0,2014-08-19,4.0,5.1429,4.6485,1.0,1.4286,0.7018,1.0,6.7238,23.107,13.0,21.5238,26.9603,105
Konloch/bytecode-viewer,15473,62,2014-10-14,3.0,4.7246,6.2906,1.0,2.0531,1.8368,0.0,13.6884,58.9898,19.0,52.5797,91.581,414
mockito/mockito,15430,226,2012-10-13,2.0,3.4512,4.5456,1.0,1.397,1.0768,0.0,18.9851,277.8421,8.0,24.9963,48.9803,2141
java-decompiler/jd-gui,15058,18,2015-03-25,3.0,4.5381,5.4238,1.0,2.4177,2.336,1.0,11.1155,51.0105,17.0,47.4423,79.8659,407
supertokens/supertokens-core,15003,119,2020-01-05,9.0,9.6035,10.2253,1.0,1.4504,0.8349,3.0,73.7134,1245.3548,47.0,111.0088,177.0428,1019
zaproxy/zaproxy,14977,26,2015-06-03,3.0,4.7476,6.0419,1.0,1.9057,1.8112,1.0,70.9199,358.5498,24.0,71.8646,138.3659,2385
cryptomator/cryptomator,14914,205,2014-02-02,6.0,8.4101,8.1309,1.0,1.4207,0.9615,1.0,19.6237,68.9679,22.0,40.4144,47.8655,473
theonedev/onedev,14855,469,2018-11-06,4.0,5.8452,8.9508,1.0,1.4038,0.826,0.0,26.8477,521.7765,14.0,40.2428,177.6279,8426
elastic/logstash,14828,241,2010-11-18,4.0,5.4148,5.8988,1.0,1.6217,2.118,1.0,21.5734,105.9868,23.0,47.0654,74.7972,933
eclipse-vertx/vert.x,14659,0,2011-06-17,4.0,6.677,9.3097,1.0,1.641,1.2854,1.0,157.2081,1612.4517,22.0,83.0626,273.4818,2028
opendataloader-project/opendataloader-pdf,14639,54,2025-05-13,5.0,7.4516,6.9979,1.0,1.1871,0.4062,1.0,52.0839,221.2192,56.0,102.0129,119.2724,155
arduino/Arduino,14562,37,2010-09-17,2.0,3.8533,5.7361,1.0,1.6444,1.56,0.0,32.7222,208.0295,18.0,57.3178,136.4138,450
hdodenhof/CircleImageView,14527,0,2014-01-17,5.0,11.0,10.6771,2.0,2.3333,0.4714,0.0,178.6667,252.6728,12.0,120.0,156.9968,3
Tencent/QMUI_Android,14503,35,2017-04-21,3.0,5.4681,6.5608,1.0,1.6295,1.3395,0.0,35.3424,197.806,11.0,54.6989,137.9822,1066
alibaba/ARouter,14491,16,2016-12-14,2.0,3.6939,4.8852,1.0,1.4082,0.7803,0.0,17.449,82.9064,10.0,32.2959,57.6913,98
DuGuQiuBai/Java,14235,0,2015-11-25,0.0,0.7722,1.3116,1.0,1.1777,0.7351,0.0,1.0792,5.1903,12.0,17.5121,22.6195,619
Netflix/zuul,13998,66,2013-03-13,4.0,6.5635,7.7762,1.0,1.6096,1.0131,1.0,24.9981,138.499,20.0,43.0923,67.9691,520
janishar/mit-deep-learning-book-pdf,13993,3,2017-04-07,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1
xpipe-io/xpipe,13971,153,2023-01-27,5.0,7.1671,6.9338,1.0,1.5481,1.0618,1.0,19.902,177.2465,21.0,44.0343,69.666,1664
sqshq/piggymetrics,13891,2,2015-03-29,5.0,6.0404,4.3203,1.0,1.0606,0.2386,0.0,3.8283,10.0283,11.0,19.0,19.9525,99
orhanobut/logger,13874,16,2015-03-20,6.0,5.8333,2.9674,1.0,1.1667,0.3727,0.0,14.9444,34.584,36.0,45.9444,43.0574,18
seaswalker/spring-analysis,13761,0,2016-09-09,2.0,2.4242,2.6057,1.0,1.2424,0.7398,0.0,1.7879,3.1407,8.0,11.4545,7.7815,33
JessYanCoding/AndroidAutoSize,13745,14,2018-08-17,4.0,5.4082,4.1939,1.0,1.4082,0.4915,1.0,31.2857,134.9022,15.0,35.102,55.6678,49
lgvalle/Material-Animations,13662,0,2015-03-08,2.0,4.4,4.0133,1.0,1.4667,0.7483,0.0,4.7556,15.9278,8.0,22.4444,34.8862,45
LuckSiege/PictureSelector,13595,116,2017-01-04,2.0,5.156,8.6521,1.0,1.2374,0.6686,0.0,49.4491,371.9332,12.0,53.057,136.1112,737
tink-crypto/tink,13546,21,2014-06-06,5.0,7.6662,7.4278,1.0,1.2887,1.2412,1.0,30.0758,183.9836,30.0,56.0826,78.7592,1465
Bigkoo/Android-PickerView,13463,0,2014-12-28,2.0,3.7253,5.0297,1.0,1.1538,0.3608,0.0,15.4945,90.0646,7.0,48.5824,111.9375,91
macrozheng/mall-learning,13374,0,2019-04-12,3.0,4.9719,4.5154,1.0,1.1044,0.3058,0.0,229.51,1247.905,16.0,57.7671,127.1141,249
pxb1988/dex2jar,13105,8,2015-03-16,3.0,5.4256,6.8304,1.0,1.5709,0.9813,0.0,21.1331,136.3943,22.0,73.056,158.1753,571
metersphere/metersphere,13087,184,2020-02-03,3.0,6.674,11.3763,1.0,1.2979,0.5457,0.0,446.2396,3758.6558,15.0,86.9676,205.3115,3702
youth5201314/banner,13039,0,2016-04-22,5.0,6.0822,6.1148,2.0,1.8356,0.6827,1.0,47.6849,348.4871,20.0,37.3151,78.775,73
macrozheng/mall-swarm,12908,3,2019-11-25,3.0,3.788,4.7268,1.0,1.2317,0.4341,13.0,1106.2291,8129.0852,32.0,132.9882,260.6324,764
plantuml/plantuml,12887,67,2010-11-04,5.0,7.1779,7.4622,1.0,1.5202,0.8691,1.0,36.2964,607.3009,22.0,48.2262,94.135,4160
Netflix/conductor,12781,319,2016-12-07,5.0,7.4985,8.244,1.0,1.2545,0.5624,0.0,78.6747,646.1861,28.0,70.8614,143.3472,664
apache/zookeeper,12750,0,2009-03-27,3.0,5.6883,7.0764,1.0,1.9926,3.0116,0.0,37.0854,388.7357,27.0,70.3009,131.9652,1768
google/guice,12733,19,2014-05-28,2.0,3.8006,5.4106,1.0,1.3047,1.2503,0.0,8.4622,77.8551,6.0,21.8201,73.2111,3886
Netflix/eureka,12697,152,2012-07-26,4.0,5.8594,6.4325,1.0,1.2691,0.7028,0.0,18.6131,134.0955,18.0,44.9518,83.431,747
facebook/stetho,12690,13,2015-01-22,3.0,4.3793,5.3678,1.0,1.4235,1.2478,0.0,7.4966,31.2215,10.0,32.7228,54.7737,588
greenrobot/greenDAO,12615,8,2011-10-22,4.0,5.0137,4.6872,1.0,2.1016,1.7139,1.0,47.4533,240.9518,25.0,50.9478,73.8607,364
zhihu/Matisse,12548,15,2017-04-13,5.0,6.6579,7.3351,1.0,1.3947,0.6299,0.0,8.0789,16.0318,20.0,44.9737,58.5855,76
daimajia/AndroidViewAnimations,12464,9,2014-06-23,2.0,3.378,6.9872,2.0,1.8049,0.3963,0.0,2.2927,12.8105,5.0,11.7683,25.0756,82
daimajia/AndroidSwipeLayout,12380,18,2014-08-25,2.0,3.7162,4.9114,1.0,1.3243,0.5952,0.0,58.9054,477.0282,6.0,37.4324,145.2293,74
pagehelper-org/Mybatis-PageHelper,12373,15,2014-06-09,6.0,5.8207,4.8807,1.0,1.4565,0.8586,0.0,29.3913,189.3062,23.0,40.6196,55.3706,184
amitshekhariitbhu/android-interview-questions,12305,0,2017-07-09,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1
redis/jedis,12301,121,2010-06-11,3.0,5.7106,8.6579,1.0,1.4213,0.9659,1.0,460.8101,13679.6612,26.0,87.4012,241.0776,1448
beemdevelopment/Aegis,12260,73,2016-08-15,5.0,7.4323,9.5161,1.0,1.7096,1.0263,1.0,22.8712,143.3124,21.5,52.8603,101.686,458
Team-xManager/xManager,12191,51,2021-02-08,2.0,2.0172,2.6017,1.0,1.021,0.2423,0.0,4.7328,69.8323,7.0,41.645,523.4368,524
